"ontological_category","semanticfield","id","description","name","Kinship","Number","Clothing","Speech","Time","Emotion","Body","physGeo","Plant","Animal","notes","included"
"","",0,"Set of all concepts not yet mapped to a meaningful concept set","<NA>",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Property","Emotions and values",1,"Deserving of contempt or scorn.","CONTEMPTIBLE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Person/Thing","The physical world",2,"Any kind of solid material divided in particles of very small size.","DUST",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Property","Emotions and values",3,"Having or characterized by courage.","BRAVE",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"yes bc you feel it in your head",TRUE
"Person/Thing","The house",4,"An area wholly or partly surrounded by walls or buildings.","COURTYARD",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Person/Thing","Animals",5,"An antelope of the genus Gazella mostly native to Africa and capable of running at high speeds for long periods.","GAZELLE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"",TRUE
"Person/Thing","The physical world",6,"The violent shaking of the ground produced by deep seismic waves, originating from the epicentre.","EARTHQUAKE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Action/Process","Spatial relations",7,"To collect or gather (e.g. work, magazines, etc.).","GATHER",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Action/Process","Religion and belief",8,"To imprecate evil or misfortune upon someone or something, usually by means of a prayer or implication.","CURSE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Action/Process","Speech and language",9,"To make known by stating or announcing.","ANNOUNCE",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",TRUE
"Person/Thing","The physical world",10,"Wood intended to be burned.","FIREWOOD",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Person/Thing","The physical world",11,"Absence of light.","DARKNESS",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Person/Thing","Time",12,"Time of day when the sun is in its zenith.","MIDDAY",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"blanket yes on subsets of the timeline",TRUE
"Person/Thing","Emotions and values",13,"The act or practice of deceiving.","DECEIT",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"no b/c effect only",FALSE
"Person/Thing","Motion",14,"A device for joining together a pair of draft animals.","YOKE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Person/Thing","Animals",15,"Any of several aquatic, furbearing, weasellike mammals of the genus Lutra, having webbed feet and a long, slightly flattened tail.","OTTER",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"",TRUE
"Person/Thing","Motion",16,"A general term used to refer to a vehicle for transportation on ice or snowy surfaces.","SLED",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Person/Thing","The body",17,"A skin flap that can be closed over an eye.","EYELID",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"",TRUE
"Person/Thing","The body",18,"The lower fleshy part of the human ear.","EARLOBE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"",TRUE
"Person/Thing","Warfare and hunting",19,"A line intended to fasten hooks in when fishing.","FISHING LINE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Person/Thing","Agriculture and vegetation",20,"A farm tool consisting of a long bent blade attached to a shaft, that is designed for cutting straws of grass or grain from an upright position.","SCYTHE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Action/Process","Sense perception",21,"To try the flavor of something.","TASTE (SOMETHING)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Action/Process","Cognition",22,"To assign for a specific end, use, or purpose; to design or destine.","INTEND",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Person/Thing","Agriculture and vegetation",23,"Biennial plant from the genus Secale of the family Poaceae, used as a cereal or for forage.","RYE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"",TRUE
"Action/Process","Religion and belief",24,"To address God or a higher being with praise, thanksgiving, confession or supplication.","PRAY",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",TRUE
"Person/Thing","Sense perception",25,"Any unclean substance, such as mud, dust, dung etc.","DIRT",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Property","Emotions and values",26,"Not to one's liking.","UNPLEASANT",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Person/Thing","The physical world",27,"A predominantly mechanical mixture of a variety of individual gases forming the earth's enveloping atmosphere.","AIR",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Action/Process","Basic actions and technology",28,"To make moist.","MOISTEN",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Action/Process","Animals",29,"To remove the testicles (and sometimes penis) of a male animal or to render the testicles nonfunctional.","GELD",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Action/Process","Motion",30,"Force to go away.","DISPEL",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
