"Language","Code"
"English","ids-190"
"English","northeuralex-eng"
"English","wold-English"
"English","diacl-41500"
"Mandarin","northeuralex-cmn"
"Mandarin","satterthwaitetb-Mandarin"
"Mandarin","wold-MandarinChinese"
"Mandarin","diacl-68417"
"Spanish","ids-176"
"Spanish","northeuralex-spa"
"Spanish","diacl-54800"
"Russian","ids-204"
"Russian","northeuralex-rus"
"Russian","diacl-37000"
"Swahili","wold-Swahili"
"Thai","ids-401"
"Thai","wold-Thai"
"Mongolian","northeuralex-khk"
"Turkish","northeuralex-tur"
"Turkish","diacl-67760"
"Arabic","northeuralex-arb"
"Arabic","diacl-68433"
"Indonesian","wold-Indonesian"
"Indonesian","diacl-22200"
"Indonesian","transnewguineaorg-bahasa-indonesia"
"Indonesian","transnewguineaorg-indonesian"
"Indonesian","lexirumah-indo1316-lexi"
"Tamil","ids-708"
"Tamil","northeuralex-tam"
"Hindi","logos-Hindistd"
"Hindi","ids-702"
"Hindi","northeuralex-hin"
"Hindi","diacl-44100"
"Basque","ids-219"
"Basque","northeuralex-eus"
"Japanese","northeuralex-jpn"
"Japanese","wold-Japanese"
"Hungarian","ids-131"
"Hungarian","northeuralex-hun"
"Hungarian","diacl-68300"
"Albanian","ids-205"
"Albanian","diacl-35300"
"Armenian","northeuralex-hye"
"Armenian","diacl-36100"
