"BroadGloss","NarrowGloss","Domain"
"FEMALE PERSON OR MOTHER","MOTHER","Kinship"
"SPOUSE","HUSBAND","Kinship"
"SPOUSE","WIFE","Kinship"
"HUSBAND OR MALE PERSON","HUSBAND","Kinship"
"NEPHEW OR NIECE","NEPHEW","Kinship"
"NEPHEW OR NIECE","NIECE","Kinship"
"BROTHER-IN-LAW","BROTHER-IN-LAW (HUSBAND'S YOUNGER BROTHER)","Kinship"
"BROTHER-IN-LAW","BROTHER-IN-LAW (HUSBAND'S OLDER BROTHER)","Kinship"
"BROTHER-IN-LAW","BROTHER-IN-LAW (YOUNGER SISTER'S HUSBAND)","Kinship"
"BROTHER-IN-LAW","BROTHER-IN-LAW (OLDER SISTER'S HUSBAND)","Kinship"
"BROTHER-IN-LAW","BROTHER-IN-LAW (OF MAN)","Kinship"
"GRANDSON","GRANDSON (SON'S SON)","Kinship"
"GRANDSON","OTHER GRANDSON","Kinship"
"GRANDCHILD","GRANDCHILD (DAUGHTER'S OFFSPRING)","Kinship"
"GRANDCHILD","OTHER GRANDCHILD","Kinship"
"CHILD","SON","Kinship"
"CHILD","DAUGHTER","Kinship"
"CHILD (DESCENDANT)","SON","Kinship"
"CHILD (DESCENDANT)","DAUGHTER","Kinship"
"BOY OR SON","SON","Kinship"
"DAUGHTER OR GIRL","DAUGHTER","Kinship"
"MATERNAL UNCLE","MATERNAL UNCLE (MOTHER'S OLDER BROTHER)","Kinship"
"MATERNAL UNCLE","MATERNAL UNCLE (MOTHER'S YOUNGER BROTHER)","Kinship"
"MATERNAL UNCLE","MATERNAL UNCLE (HUSBAND OF ONE'S MATERNAL AUNT)","Kinship"
"MATERNAL UNCLE (MOTHER'S BROTHER)","MATERNAL UNCLE (MOTHER'S OLDER BROTHER)","Kinship"
"MATERNAL UNCLE (MOTHER'S BROTHER)","MATERNAL UNCLE (MOTHER'S YOUNGER BROTHER)","Kinship"
"COUSIN OR SISTER-IN-LAW","MALE COUSIN","Kinship"
"COUSIN OR SISTER-IN-LAW","FEMALE COUSIN","Kinship"
"COUSIN OR SISTER-IN-LAW","CROSS-COUSIN","Kinship"
"COUSIN OR SISTER-IN-LAW","SISTER-IN-LAW (HUSBAND'S YOUNGER SISTER)","Kinship"
"COUSIN OR SISTER-IN-LAW","SISTER-IN-LAW (HUSBAND'S OLDER SISTER)","Kinship"
"COUSIN OR SISTER-IN-LAW","SISTER-IN-LAW (OLDER BROTHER'S WIFE)","Kinship"
"COUSIN OR SISTER-IN-LAW","OTHER SISTER-IN-LAW","Kinship"
