id,ontological_category,semanticfield,description,name,Kinship2,Number,Clothing,Speech,Time,Emotion,Body,physGeo,Plant,Animal,notes,included?,words_Arabic,words_Indonesian,words_Basque,words_Tamil,words_Albanian,words_Hindi,words_Russian,words_Spanish,words_Swahili,words_Turkish,words_Hungarian,words_Thai,words_English
5,Person/Thing,Animals,An antelope of the genus Gazella mostly native to Africa and capable of running at high speeds for long periods.,GAZELLE,,,,,,,,,,TRUE,,TRUE,"['ظَبِي', 'غزال', 'غَزَال']","['Gazel', 'rusa betina']","['Gazella', 'gazela']",['வனப்புமிக்க சிறுமான்'],"['Gazela', 'Gazella']","['कुरंग', 'गज़ेल']","['Газели', 'газе́ль', 'газель']","['Gazella', 'Gazzella', 'gacela']","['paa', 'swala', 'swara']",['ceylan'],['gazella'],"['กาเซลล์', 'เลียงผา']",['gazelle']
12,Person/Thing,Time,Time of day when the sun is in its zenith.,MIDDAY,,,,,TRUE,,,,,,blanket yes on subsets of the timeline,TRUE,"['الظهر', 'زَوال', 'ظهر', 'ظهِيرة', 'ظُهْر']","['siang', 'tengah hari']",['eguerdi'],"['நடுப்பகல்', 'மத்தியானம்']","['drekë', 'drekëhera', 'mesditë']",['दोपहर'],"['по́лдень', 'полдень']",['mediodía'],"['Adhuhuri', 'adhuhuri', 'adhuuri', 'mchana', 'saa sita']","['günorta', 'öğle']",['dél'],"['ตอนเที่ยง', 'เที่ยงวัน']","['midday', 'noon']"
15,Person/Thing,Animals,"Any of several aquatic, furbearing, weasellike mammals of the genus Lutra, having webbed feet and a long, slightly flattened tail.",OTTER,,,,,,,,,,TRUE,,TRUE,"['ثَعْلَب الْمَاء', 'قضاعة']","['Berang-berang', 'lingsang', 'linsang']","['Lutrinae', 'igaraba', 'urtxakur']",['நீர்நாய்'],"['Lundërzat', 'lundër', 'lundërz', 'vidër']","['ऊद', 'ऊदबिलाव', 'लुत्रिनाइ']","['Выдровые', 'вы́дра', 'выдра']","['Lutrinae', 'lutria', 'nutria']",['ota'],"['Su samuru', 'lutr', 'susamuru']","['Vidraformák', 'vidra']",['นาก'],['otter']
17,Person/Thing,The body,A skin flap that can be closed over an eye.,EYELID,,,,,,,TRUE,,,,,TRUE,['جفن'],['kelopak mata'],['betazal'],[],['qepallë'],['पपोटा'],['веко'],['párpado'],['kope'],['göz kapağı'],['szemhéj'],"['หนังตา', 'เปลือกตา']",['eyelid']
18,Person/Thing,The body,The lower fleshy part of the human ear.,EARLOBE,,,,,,,TRUE,,,,,TRUE,[],[],[],[],[],[],['мочка'],['lóbulo'],[],['kulak memesi'],[],[],"['ear lobe', 'earlobe']"
23,Person/Thing,Agriculture and vegetation,"Biennial plant from the genus Secale of the family Poaceae, used as a cereal or for forage.",RYE,,,,,,,,,TRUE,,,TRUE,['شيلم مزروع'],['gandum hitam'],['zekale'],"['Secale cereale', 'புல்லரிசி', 'ராய்']",['Thekra'],['नीवारिका'],['рожь'],"['centeno', 'secale cereale']",['Ngano nyekundu'],['çavdar'],['rozs'],['ข้าวไรย์'],['rye']
33,Person/Thing,Agriculture and vegetation,Any of numerous plants having stinging hairs that cause skin irritation on contact (especially of the genus Urtica or family Urticaceae). [B:33],NETTLE,,,,,,,,,TRUE,,,TRUE,"['أَنْجَرَة', 'قراص', 'قُرَّاص']",[],"['asun', 'osin']",[],['hithëra'],[],['крапи́ва'],"['ortiga', 'urtica']",[],"['isırgan', 'ısırgan']",['csalán'],[],['nettle']
35,Person/Thing,Agriculture and vegetation,"A tropical tree, native to Africa, including Sudan and parts of the Madagascar dry deciduous forests.",TAMARIND,,,,,,,,,TRUE,,,TRUE,['تمر هندي'],['asam jawa'],['tamarindo'],"['Tamarindus indica', 'புளி', 'புளிய மரம்t']",[],"['Tamarindus indica', 'इमली']",['тамаринд'],"['tamarindo', 'tamarindus indica']",['Mkwaju'],['demirhindi'],['Tamarindusz'],"['ต้นมะขาม', 'มะขาม']",['tamarind']
36,Person/Thing,The body,"Dense, coarse hair that grows on the male and female genital area beginning in puberty.",PUBIC HAIR,,,,,,,TRUE,,,,,TRUE,[],[],[],[],[],[],['лобковые волосы'],['vello púbico'],['vinyuzi'],[],"['fanszőrzet', 'intim szőrzet', 'nemi szőrzet', 'szeméremszőrzet']",['ขนหัวหน่าว'],"['netherhair', 'pubes', 'pubic hair']"
40,Person/Thing,Emotions and values,"A feeling of discontent or covetousness with regard to another's advantages, success, possessions, etc.",ENVY,,,,,,TRUE,,,,,,TRUE,"['حسد', 'حَسَد']","['Iri hati', 'dengki']","['inbidia', 'jeloskortasun']",['பொறாமை'],[],['ईर्ष्या'],"['за́висть', 'зависть']","['envidia', 'pelusa']","['Kijicho', 'wivu']","['haset', 'kıskançlık']",['Irigység'],"['ความริษยา', 'ความอิจฉา']",['envy']
