Frequency,Domain,Language
0.001164855,Kinship,Russian
0,Number,Russian
0.00018278,Clothing,Russian
0.000473657,Speech,Russian
0.001882272,Time,Russian
0.000271953,Emotion,Russian
0.00135209,Body,Russian
0.000437748,physGeo,Russian
9.73E-05,Plant,Russian
0.000535215,Animal,Russian
0.002990614,Kinship,Turkish
0,Number,Turkish
0.001408491,Clothing,Turkish
0.003459212,Speech,Turkish
0.015040161,Time,Turkish
0.001111158,Emotion,Turkish
0.020785714,Body,Turkish
0.005126279,physGeo,Turkish
0.00096285,Plant,Turkish
0.006289076,Animal,Turkish
0.002718249,Kinship,Hungarian
0,Number,Hungarian
0.000638509,Clothing,Hungarian
0.001994592,Speech,Hungarian
0.041956024,Time,Hungarian
0.000232414,Emotion,Hungarian
0.02177774,Body,Hungarian
0.007385811,physGeo,Hungarian
0.001850166,Plant,Hungarian
0.004811905,Animal,Hungarian
0.001388731,Kinship,Swahili
0,Number,Swahili
7.92E-05,Clothing,Swahili
0.000333085,Speech,Swahili
0.003715511,Time,Swahili
0.000133468,Emotion,Swahili
0.001417675,Body,Swahili
0.001228205,physGeo,Swahili
0.000210154,Plant,Swahili
0.001600641,Animal,Swahili
0.003042607,Kinship,Albanian
0,Number,Albanian
4.68E-05,Clothing,Albanian
0.000844145,Speech,Albanian
0.004450598,Time,Albanian
0.000450897,Emotion,Albanian
0.004984957,Body,Albanian
0.00148235,physGeo,Albanian
0.000478675,Plant,Albanian
0.001436068,Animal,Albanian
0.002913881,Kinship,Basque
0,Number,Basque
7.32E-05,Clothing,Basque
0.001993582,Speech,Basque
0.008978577,Time,Basque
0.006126963,Emotion,Basque
0.003553057,Body,Basque
0.003449843,physGeo,Basque
0.000368901,Plant,Basque
0.00089498,Animal,Basque
5.53E-05,Kinship,English
2.08E-06,Number,English
0.000235305,Clothing,English
0.000864482,Speech,English
0.003500214,Time,English
0.000934705,Emotion,English
0.003565623,Body,English
0.001943221,physGeo,English
0.0004136,Plant,English
0.000723375,Animal,English
