"Language","Domain","count"
"Albanian","Animal",83
"Albanian","Body",81
"Albanian","Clothing",17
"Albanian","Emotion",8
"Albanian","Kinship",27
"Albanian","physGeo",24
"Albanian","Plant",25
"Albanian","Speech",5
"Albanian","Time",17
"Arabic","Animal",36
"Arabic","Body",47
"Arabic","Clothing",8
"Arabic","Emotion",4
"Arabic","Kinship",13
"Arabic","physGeo",21
"Arabic","Plant",7
"Arabic","Speech",7
"Arabic","Time",25
"Basque","Animal",79
"Basque","Body",72
"Basque","Clothing",17
"Basque","Emotion",11
"Basque","Kinship",22
"Basque","physGeo",29
"Basque","Plant",23
"Basque","Speech",11
"Basque","Time",36
"English","Animal",113
"English","Body",88
"English","Clothing",21
"English","Emotion",11
"English","Kinship",28
"English","physGeo",36
"English","Plant",28
"English","Speech",11
"English","Time",39
"Hindi","Animal",92
"Hindi","Body",88
"Hindi","Clothing",18
"Hindi","Emotion",11
"Hindi","Kinship",28
"Hindi","physGeo",35
"Hindi","Plant",26
"Hindi","Speech",11
"Hindi","Time",37
"Hungarian","Animal",96
"Hungarian","Body",86
"Hungarian","Clothing",19
"Hungarian","Emotion",11
"Hungarian","Kinship",30
"Hungarian","physGeo",35
"Hungarian","Plant",29
"Hungarian","Speech",11
"Hungarian","Time",37
"Indonesian","Animal",86
"Indonesian","Body",83
"Indonesian","Clothing",15
"Indonesian","Emotion",8
"Indonesian","Kinship",29
"Indonesian","physGeo",28
"Indonesian","Plant",25
"Indonesian","Speech",7
"Indonesian","Time",20
"Russian","Animal",88
"Russian","Body",82
"Russian","Clothing",17
"Russian","Emotion",11
"Russian","Kinship",25
"Russian","physGeo",35
"Russian","Plant",25
"Russian","Speech",11
"Russian","Time",35
"Spanish","Animal",95
"Spanish","Body",86
"Spanish","Clothing",19
"Spanish","Emotion",11
"Spanish","Kinship",26
"Spanish","physGeo",35
"Spanish","Plant",28
"Spanish","Speech",11
"Spanish","Time",37
"Swahili","Animal",78
"Swahili","Body",72
"Swahili","Clothing",17
"Swahili","Emotion",8
"Swahili","Kinship",39
"Swahili","physGeo",18
"Swahili","Plant",20
"Swahili","Speech",6
"Swahili","Time",22
"Tamil","Animal",76
"Tamil","Body",75
"Tamil","Clothing",13
"Tamil","Emotion",11
"Tamil","Kinship",26
"Tamil","physGeo",32
"Tamil","Plant",20
"Tamil","Speech",10
"Tamil","Time",26
"Turkish","Animal",49
"Turkish","Body",46
"Turkish","Clothing",8
"Turkish","Emotion",4
"Turkish","Kinship",13
"Turkish","physGeo",22
"Turkish","Plant",14
"Turkish","Speech",7
"Turkish","Time",32
